Statistik,Nilai (mm/bulan)
Mean (Rata-rata),434.67
Median,133.10
Simpangan Baku (Std Dev),1145.41
Minimum,0.00
Maximum,9313.00
Rentang (Range),9313.00
Q1 (25th Percentile),25.00
Q3 (75th Percentile),328.72
IQR,303.72
